Date With Month wise Rainfall in mm,Dharashiv,Tuljapur,Paranda,Bhum,Kalamb,Umarga,Lohara,Washi,District-Dharashiv
01/06/2025,0,0,0,0,0,0,0,0,0
02/06/2025,4.1,0.7,2.8,1.9,0.4,0,0,0.4,1.5
03/06/2025,0,0,0,0,0,0,0,0,0
04/06/2025,0,0,0,0,0.4,0.4,0,0,0.1
05/06/2025,10,15.1,0.1,0.6,7.5,7.4,11.4,5.9,7.7
06/06/2025,3.2,1.7,1.1,6.9,6.1,0,0,6.4,3.2
07/06/2025,3,0.3,5.2,1.5,4.1,4.5,0.8,0.1,2.6
08/06/2025,7.5,2.4,11.4,12.3,10,16.4,11.3,25.9,10.7
09/06/2025,7.2,34.6,3.8,1.9,13.4,52.9,85.9,5.4,22.5
10/06/2025,5.5,10,16.8,10.2,8,6.6,19.6,9.8,10
11/06/2025,0.6,0.8,0.2,1.4,0.4,0.2,0.3,0.1,0.5
12/06/2025,0.7,0.1,4.1,6.1,4.9,0.7,0.5,6.8,2.7
13/06/2025,9.3,31.2,8.6,6.3,1.1,13.2,45.6,2.5,13.9
14/06/2025,10.4,2.1,14.8,13.5,9.4,1.9,1.8,17.5,8.7
15/06/2025,0.1,0.2,0,0,0,0,1,0,0.1
16/06/2025,0.7,0.7,0.1,0.4,2.9,1,0.8,1,1
17/06/2025,0.3,0.3,0.9,2.8,3.7,2.2,0,3.2,1.6
18/06/2025,0,0,0,0.6,0.4,0,0,1.4,0.2
19/06/2025,0.1,0,0.1,0.5,0.4,0,0,0.9,0.2
20/06/2025,3.2,1.2,5.5,3,5.9,0.2,0.2,5.7,3.1
21/06/2025,2.7,9.1,0,0.4,0.4,4.3,2.7,1.6,3
22/06/2025,0.7,1.7,0,0.7,0.6,3.7,5.7,0,1.4
23/06/2025,0,0,1.1,0.1,0,0,0.4,0,0.2
24/06/2025,0.2,0,0.6,0.1,0.6,0,0,0.4,0.2
25/06/2025,0.1,2.8,0,0,0.1,2,0.1,0.1,0.7
26/06/2025,0.1,1.2,0.2,0.1,0,0,0,0.3,0.3
27/06/2025,0.5,0.8,0.1,0.2,0.7,0,0,0.2,0.4
28/06/2025,0.1,0.1,0,0,0,0,0,0,0
29/06/2025,0.1,0,0,0,0,0,0,0,0
30/06/2025,0.9,1.9,1,0.4,0.4,7.1,7.8,0.6,2.1
01/07/2025,3.8,14,1.5,1.2,11.1,19.2,12.6,5.7,8.6
02/07/2025,7.9,18.7,8.5,7.4,2.9,26,16.4,3.4,11.4
03/07/2025,0.4,0,0.1,0.3,1.9,0,0.1,0.9,0.5
04/07/2025,0,0.9,0.3,0.9,0.2,0.7,0.6,0,0.4
05/07/2025,0.3,0.5,0,0,0,0.3,0.1,0,0.2
06/07/2025,0.7,0.3,2.1,2.4,4.2,0.2,0,2.2,1.5
07/07/2025,0.1,0.1,0,0.1,0.7,0,0,0.4,0.2
08/07/2025,1.3,0,0.2,3.6,3.3,0,0,6.1,1.6
09/07/2025,1.7,1.9,3.9,3.1,0.3,1.1,1.9,0.9,1.8
10/07/2025,0.6,12.6,2.8,0.2,0.7,3.3,2.9,0.4,3.3
11/07/2025,0.8,0,0,0.1,0.3,0.7,0.1,1.1,0.4
12/07/2025,3.9,0.1,1.5,2.1,6.9,0.4,1.3,3.2,2.5
13/07/2025,0.2,0,0.9,0.1,0.5,0,0.4,0.3,0.3
14/07/2025,1.5,9.4,0,0.3,0,1.7,6.4,0.7,2.6
15/07/2025,0.1,0.2,0.2,0.6,0.2,0.1,0.1,0.3,0.2
16/07/2025,0.3,5.4,0.7,0.1,0.4,0.3,0.4,0,1.2
17/07/2025,2.8,4.3,3.8,10,10.5,6.4,5.4,39.8,8.4
18/07/2025,0.4,0,2.3,0.5,0.6,0,0.1,6.8,1
19/07/2025,0.4,0.3,0.2,0.1,0.5,1.8,0.8,0,0.5
20/07/2025,0,0,0,0.1,0,0.3,0,0,0
21/07/2025,0.2,0,0.7,0.1,1.7,0,0,0.8,0.4
22/07/2025,32.1,27.6,12,36.1,29.9,28.1,23.7,43.5,28.9
23/07/2025,4.4,11,1.3,2.3,1.7,1.3,0.4,16.8,5
24/07/2025,15.6,13.7,6.8,3.2,6.5,36.4,25,6.5,14
25/07/2025,3.6,1.6,1.1,2.3,3.2,2.7,2.3,4.5,2.6
26/07/2025,26.8,22.3,20.1,33.6,25.4,28.6,30.2,34.8,26.9
27/07/2025,15.6,6.2,12.7,25.5,30.2,7.6,10.9,20.9,16
28/07/2025,0.3,0,0.4,0.1,0,0.1,0,0,0.1
29/07/2025,0.2,0,0,0.1,0,0,0,0.2,0.1
30/07/2025,0.1,0,0.2,0.6,0.4,0.8,0,0.8,0.3
31/07/2025,0.4,1,0.2,0.9,0.6,1.5,1.2,1.1,0.8
01/08/2025,1.1,0.4,0.8,2.4,0.5,0.2,0,1.8,0.9
02/08/2025,0.1,0.1,0.7,0,0.1,0,0,0.1,0.1
03/08/2025,0.2,0,0,0,0,0,0,0,0
04/08/2025,0.3,0,0,0,0,0.1,0,0,0.1
05/08/2025,0,0,0,0,0.1,0.4,0,0,0.1
06/08/2025,12.6,30,9.3,0.8,10.7,18.5,18.5,4,14
07/08/2025,30.8,7.7,14.4,27.9,24.3,2.5,1.3,21.5,17.6
08/08/2025,7.3,12.5,1.5,6.1,0.8,8,7.9,1.7,6.1
09/08/2025,1.5,0.4,0.6,2.2,4.3,1.2,0.4,7.1,2
10/08/2025,0.3,13.5,4.1,4.3,0.3,17.4,8,4.4,6.3
11/08/2025,2.6,4.1,15.9,10.2,7.2,2.7,0.6,8.3,6.3
12/08/2025,15.5,34.4,44,41.4,4,22.1,12.6,6.7,23.4
13/08/2025,0.8,14,2.8,9.3,1.8,3.2,3,12.1,5.6
14/08/2025,22.4,37.1,2.7,12.6,6.1,17.6,19.2,37.2,19.3
15/08/2025,50.7,20,38.4,61.3,127.2,14.6,37.7,110.9,55.4
16/08/2025,2.1,1.1,1,10.2,1.6,0.5,0,1.3,2.3
17/08/2025,3.2,2.5,6.6,1.1,4.1,3.6,1.8,1.3,3.2
18/08/2025,14.9,14.2,7.2,10.5,19.4,19.3,17.6,12.8,14.6
19/08/2025,8.8,20.7,12.7,6.8,6,23.4,26.2,6.3,13.4
20/08/2025,5.5,5.7,3.2,6.8,2.7,5.1,5.9,7.3,5.1
21/08/2025,2.4,1.6,0.3,0.4,0.4,5.4,1.2,0.9,1.6
22/08/2025,0.2,0.2,0,0,0,0.1,0.5,0,0.1
23/08/2025,0,0.5,0,0.1,0,0,0,0,0.1
24/08/2025,0.2,0.6,1.1,1.7,1,0.3,0.8,0.6,0.7
25/08/2025,0,0,0,0,0,0,0,0.1,0
26/08/2025,0.3,0,0.5,0.1,0.6,0,0,0,0.2
27/08/2025,2.4,35.7,1.3,2.4,7.8,23.4,10.9,10,12.2
28/08/2025,27.1,14.9,9.6,13,31.1,41.3,45,24.5,24.7
29/08/2025,14.9,6.6,16,23.2,25.1,14.1,10.5,37.5,17.3
30/08/2025,19.1,19.9,7.2,8,5.4,14,20.2,3.9,12.9
31/08/2025,0.2,4.4,6.4,6,2.6,7.2,0.4,19.8,4.9
01/09/2025,0.4,0,0.1,0,0,0.1,0,0,0.1
02/09/2025,0.2,1,0,0.1,0.1,0.3,0.1,0.2,0.3
03/09/2025,4.7,0,0,0,11,6.1,1,2.7,3.5
04/09/2025,2.3,0,0.1,9,7.7,0,2.5,16,3.9
05/09/2025,0.1,0,0.1,0,0,0,0,0,0
06/09/2025,0.2,0,0.9,0.7,0,0.3,0,0,0.3
07/09/2025,0.1,0,0,0.1,0,0,0,0,0
08/09/2025,1.2,0.3,0.8,0.6,0.4,0.1,1.3,0.1,0.6
09/09/2025,0.1,0,0.1,0,0,0,0,0,0
10/09/2025,0,8.4,8.4,0,0.1,23.7,7.8,0,5.8
11/09/2025,9.3,13.1,21.4,4.2,1.7,5.6,4.7,0,8.2
12/09/2025,0.6,0.4,0.2,0.1,0.1,0.7,1,0.3,0.4
13/09/2025,3.2,4.2,0.1,0.6,0.7,13.2,5.4,0.4,3.5
14/09/2025,46.9,14.9,42.9,28.4,28.8,3.2,5.9,48.5,28.3
15/09/2025,46.5,24.9,42.2,23.3,36,16.5,6.5,22.5,30
16/09/2025,19.9,5.3,4.8,29.6,14.9,15.8,1.1,25.7,14.7
17/09/2025,27.3,15.5,21.8,63.8,66.1,29.7,19.4,45.3,35.6
18/09/2025,3.3,40.2,2.3,2.7,9.5,17,16.2,12.9,13.4
19/09/2025,2.6,7.6,3.6,22.4,22.5,15.4,3.3,91.3,16.6
20/09/2025,8.1,15.8,6.7,9.8,15.2,13.2,126.3,2.1,19
21/09/2025,5.1,31.3,6.5,7.8,0.9,58.3,55.3,0.3,18.9
22/09/2025,43.7,52.4,108.9,111,73.8,71.4,75.7,77.9,73.3
23/09/2025,55.1,26.1,65.1,73.4,70.7,11.6,29.1,84.6,50.9
24/09/2025,5,22.8,1.4,3.2,25.6,4.2,4.4,25.8,11.6
